Model,MAE,RMSE,R2
Random Forest,1.73845783437919,3.26046316455282,-0.363664090400696
Decision Tree,1.8226660067625002,3.305566968589166,-0.40165370181230187
Linear Regression,2.533320060085569,3.465422042930436,-0.5404977743937263
